Gravity Rank,Marketplace Rank,Vendor Code,Title,Category,Gravity,CVR,EPC,Avg Payout ($),Initial Payout ($),Rebill Payout ($),Sales Page URL,Affiliate Tools / JV Page,Contact Email,Contact Telegram,Badges,Description
57,66,"LEANBIOME","LeanBiome - BRAND NEW Weight Loss Offer!!","Health & Fitness / Dietary Supplements",24.2,"0.22%","$0.42",171.94,170.97,0.97,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=LEANBIOME","https://bestleanlife.com/affiliates/","affiliates@allgood.com","","","LeanBiome is generating massive payouts for our affiliates with $3 - $5 EPCs. Our optimized funnel and upsell flow will turn LeanBiome into your personal ATM!"
58,57,"BOUSA1","David’s Shield – NEW 2026 VSL!!! $6M+ Faith Driven EMP Blockbuster.","Self-Help / Survival",24,"0.85%","$0.52",63.07,63.07,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=BOUSA1","https://blackoutusa.com/affiliates","affiliates@survivopedia.com","","","From a Top Diamond Vendor, brand-new 2026 VSL with $6M+ in sales that DOUBLES conversions, dominates Christian, prepper, and conservative. 10%+ email CVR, $2–$4 EPCs, Proven across cold, warm, and native. NOW OPEN TO ALL TRAFFIC."
59,64,"PROSTAPEAK","Prosta Peak","Health & Fitness / Dietary Supplements",24,"0.04%","$0.07",179.67,179.67,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PROSTAPEAK","https://prostapeak.com/affiliates","jessie@thedirectmediaagency.com","https://t.me/jessieoslie90","Direct Tracking Available, CPA Available","Monster prostate offer NEW 2025! Kills it on all lists. $180+ CPA and direct tracking available! Split tested and optimized to scale on FB/Native/Email/YT traffic. $5+ EPC's! Get resources and links here: https://prostapeak.com/affiliates"
60,43,"DENTABIOME","DentaBiome - ClickBank's First Oral Postbiotic","Health & Fitness / Dental Health",23.9,"0.23%","$0.42",177.51,177.47,0.05,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=DENTABIOME","http://getdentabiome.com/affiliates","affiliates@getdentabiome.com","","Direct Tracking Available","EARLY affiliates win biggest. DentaBiome is ClickBank's first Oral Postbiotic offer, featuring a unique Berry-Frost chewable custom formula, the highest-CVR-focused funnel, massive CPAs, low refunds %, and a brand new fresh angle in oral health. APPLY NOW"
61,52,"ASTRAL43","Shifting Vibrations: Manifestation Offer From CB Platinum Plus Vendor","Spirituality, New Age & Alternative Beliefs / General",23.8,"0.71%","$0.56",76.58,76.54,0.05,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=ASTRAL43","https://astralhq.com/affiliates/","affiliates@astralhq.com","","Direct Tracking Available, CPA Available","This has done over $1.8m in sales using our own cold paid traffic. Shifting Vibrations is a proven wealth manifestation offer your traffic will love. Great conversions, high AOVs, high EPCs, send a test today and see."
62,56,"ASTROSKETC","Original Astro Lover Sketch | Internal Tests: $3.27 EPC / 61% OTO1","Spirituality, New Age & Alternative Beliefs / Psychics",23.6,"1.08%","$0.42",37.79,37.79,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=ASTROSKETC","https://astroloversketch.com/affiliate/","wilson@mettlence.com","","","Astrology-based soulmate sketch funnel with strong upsell economics. Internal email tests hit up to $3.27 EPC and 61% OTO1 take-rate. Best for astrology, psychic traffic."
63,82,"CRITICALB","Neuro-Balance Therapy VSL - Physical Offer with Therapy Tool","Health & Fitness / Exercise & Fitness",23.6,"0.29%","$0.13",43.15,43.15,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=CRITICALB","https://theneurobalancetherapy.org/partners","lindsay@criticalbench.com","","Direct Tracking Available","Newest Gangbuster VSL from time tested Diamond publisher Critical Bench. Neuro-Balance Therapy is the complete balance-strengthening protocol to help prevent and prepare your body for out of the blue trips and falls. For men and women over 50 years old."
64,55,"PXTVIP","Pineal XT Gold: 2025’s #1 Pineal Manifestation Funnel","Spirituality, New Age & Alternative Beliefs / General",22.9,"0.49%","$0.56",112.05,112.05,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PXTVIP","https://pinealxt.com/affiliates","affiliates@pinealxt.com","https://t.me/wennschondennschon","Approval Required","First-ever pineal + manifestation supplement. Supports pineal gland, boosts manifestation. Expert funnel with $300+ AOV and $4+ EPCs. Untapped, whitehat, zero competition. Scalable, spiritual, and insanely profitable. Promote now and bank in 2025."
65,78,"00DRAWMYTF","DrawMyTwinFlame - SEPTEMBER 2025!! 2-3% Conversions!!","Spirituality, New Age & Alternative Beliefs / General",22.8,"0.72%","$0.24",34.43,34.43,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=00DRAWMYTF","https://leaderboard.neuromedia.com/","affs@neuromailer.com","","","3x DIAMOND vendor! $.40-$1+ EPC. This is one of the first soulmate offers that took the marketplace by storm in 2021 with over $5,000,000 in sales NEW and OPTIMIZED! See for yourself…"
66,32,"NEWERA","NewEra Protect - Untapped Pelvic Floor | $275 AOV!! Platinum+","Health & Fitness / Women's Health",22.7,"0.31%","$0.48",159.13,159.13,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=NEWERA","https://neweraprotect.com/affiliate-tools","support@linenryangroup.com","","Approval Required, Direct Tracking Available","MAKE SERIOUS CASH in the untapped pelvic floor niche! Platinum Plus Vendor offer for Women 40+ — $275 AOV, $1M+ paid to affiliates. Proven VSL on cold & warm traffic, low refunds, exclusive whitelisting, commission bumps available. Get your links now!"
67,75,"PLAYSCRIPT","Delete Script","Self-Help / Motivational / Transformational",22.7,"0.16%","$0.11",70.78,70.78,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PLAYSCRIPT","https://www.overnightscript.com/aff1770599477860","geniescriptworksmain@gmail.com","https://t.me/WesleyBillionVirgin","","I am coming for the #1 spot.. AGAIN The Delete Script deletes your pesky negative thoughts that is keeping you stuck.."
68,146,"BLOODPRESS","High Blood Pressure - Blue Heron Health News","Health & Fitness / Remedies",22.7,"0.20%","$0.06",35.89,35.89,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=BLOODPRESS","https://blueheronaffiliates.com/health-guides/high-blood-pressure-program/promotional-materials/","","","","High blood pressure is the number cause of death in the world.You must tell them how to lower blood pressure TODAY using these 3 easy exercises. Part of BlueHeronAffiliates.com"
69,98,"INSTADOODL","InstaDoodle","E-business & E-marketing / Video Marketing",22.6,"1.86%","$0.75",36.19,36.19,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=INSTADOODL","https://instadoodle.com/partners","team@instadoodle.com","","","Breathtaking Whiteboard Animation Videos In 3 Clicks, With The World’s First AI DOODLE Video Creator"
70,122,"SHEDPLANS","My Shed Plans *Top Aff Makes $50k/month!* ~9% Conversions","Home & Garden / How-to & Home Improvements",22.6,"0.16%","$0.05",32.68,32.68,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SHEDPLANS","https://www.myshedplans.com/aff","","","Direct Tracking Available","Newly Updated Copy for a 120% ROI improvement! See Why Super Affiliates Are Secretly Promoting Us. An Absolute Conversion Monster, Written By A 7-figure Copywriter. Get $90 Per Sale - 75% Comms With Multiple Upsells. - Direct Facebook lander for ADs."
71,79,"GLUCOFIX","Gluco Extend","Health & Fitness / Dietary Supplements",22.5,"0.09%","$0.16",173.05,173.05,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=GLUCOFIX","https://goglucoextend.com/affiliates","jessie@thedirectmediaagency.com","https://t.me/jessieoslie90","Direct Tracking Available, CPA Available","Monster blood sugar offer NEW VSL 2026! Kills it on all lists. $180+ CPA and direct tracking available! Split tested and optimized to scale on FB/Native/Email/YT traffic. $5+ EPC's! Get resources and links here: https://goglucoextend.com/affiliates"
72,81,"JOINTVIVE","JointVive – Breakthrough Support for Stiff, Achy Joints & Mobility!","Health & Fitness / Dietary Supplements",22.5,"0.18%","$0.25",138.07,137.93,0.14,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=JOINTVIVE","https://jointvive.com/affiliates/","affiliates@jointvive.com","https://t.me/wennschondennschon","","Hot new joint relief supplement converting on all traffic types! Backed by science, low refund rate, and high EPCs. Promotes comfort, mobility, and flexibility. Get your link now and scale JointVive like your next best-seller!"
73,53,"PRIMEBIOME","PrimeBiome - Doctor-Endorsed Skin-Gut Gummies","Health & Fitness / Beauty",22,"0.20%","$0.33",160.66,160.66,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PRIMEBIOME","https://getprimebiome.com/help/affiliates.php","affiliates@primebiome-product.com","","Approval Required","Powerful Pitch, Multiple Intros Available, 100% Backed By Science. Top Affs Are Scoring With This. Limited Slots Only."
74,85,"GLUCOBERRY","GlucoBerry - BRAND NEW Blood Sugar Offer!!","Health & Fitness / Dietary Supplements",21.3,"0.09%","$0.13",134.22,132.63,1.59,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=GLUCOBERRY","https://bloodsugarberry.com/affiliates/","affiliates@allgood.com","","","GlucoBerry generates massive payouts for our affiliates with $3 - $5 EPCs. Our optimized funnel and upsell flow will turn GlucoBerry into your personal ATM!"
75,101,"SOFORTUNE","Scratch Of Fortune - Insane EPCs and AOV (New)","Spirituality, New Age & Alternative Beliefs / General",21.2,"0.57%","$0.20",31.78,30.93,0.85,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SOFORTUNE","https://scratch-fortune.com/affiliates","affiliates@scratch-fortune.com","","","HIGH EPCs + REBILLS. Madame Tessia hands cold traffic a scratch-off card — they scratch 6 numbers, get a fortune made just for them. Addictive lead-in, bump + 4 upsells fatten AOV, low refunds, mobile-first, already turning fat profit. Scratch = cash."
76,54,"SOULMSTORY","Soulmate Story - NEW Sketch Offer with MOUTH-WATERING EPCs","Spirituality, New Age & Alternative Beliefs / Psychics",20.9,"1.20%","$0.56",46.81,46.81,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SOULMSTORY","https://soulmatestory.com/partners/","support@soulmatestory.com","","Approval Required","New Sketch Offer with Brilliant Astrology Angle from one of the top DIAMOND vendors on ClickBank. INSANE EPCs. Your list will LOVE this AOV monster. Try it today!"
77,73,"FINESSA","Finessa - High-Converting Digestion & Poop Offer","Health & Fitness / Dietary Supplements",20.9,"0.24%","$0.30",126.09,125.81,0.28,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=FINESSA","https://myfinessa.com/affiliates","aff@myfinessa.com","","","Amazing conversions and high payouts! Get on this digestion, bloating and poop offer ASAP. Created by Diamond Elite Team. CPA and all the premium support you need."
78,62,"NEUROPRIME","NeuroPrime – Built for Aggressive Brain Health Affiliates 2026","Health & Fitness / Dietary Supplements",20.8,"0.33%","$0.59",171.84,171.84,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=NEUROPRIME","https://theneuroprime.com/affiliates/","affiliates@theneuroprime.com","https://t.me/wennschondennschon","","A new, unique custom formula offers powerful protection against memory loss. With a $5.89 EPC and 2.35% conversion rate combined with a whopping $400 AOV, this high-converting offer is a golden opportunity for affiliates looking to profit from their ads!"
79,70,"CARDIOSLIM","Cardio Slim Tea - New GOLDMINE For Affiliates - up to $210 CPA","Health & Fitness / Dietary Supplements",20.8,"0.18%","$0.30",169.62,169.62,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=CARDIOSLIM","https://trycardioslimtea.com/aff","amanda.slimcrystalteas@gmail.com","","Approval Required, Direct Tracking Available","Our NEW blood pressure/weight loss offer does amazing on email, FB and YTB. Our Talkshow VSL converts at over 1% with up to $4 EPC. Up to $210 CPA available for selected affiliates! Go to https://trycardioslimtea.com/aff to get your links!"
80,113,"USWATER1","Joseph’s Well – NEW CINEMATIC VSL - Blockbuster Offer","Self-Help / Survival",20.8,"4.38%","$1.18",29.43,29.43,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=USWATER1","https://www.josephwell.com/affiliates","affiliates@survivopedia.com","","","OPEN FOR ALL TRAFFIC! From a Top Diamond Vendor! Megadrought solution. Faith-based survival VSL 10%+ email CVR. $2+ EPCs. Converts Prepper, Christian, Green Energy, Homestead & cold traffic. josephwell.com/affiliates"
81,46,"METABODROP","Metabo Drops - The Juice is Loose!","Health & Fitness / Dietary Supplements",20.7,"0.19%","$0.39",193.68,193.68,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=METABODROP","https://www.metabodrops.com/affiliates","jackie@jvwithae.com","https://t.me/BradHoward","","Another banger brought to you by the Java Burn team. Super unique hooks and easy to advertise. Get a jump on Q1 and set your stake in the sand. Here's where to go for links: https://www.metabodrops.com/affiliates"
82,68,"VERTIGENIC","Vertigenics - Unique Vertigo Formula","Health & Fitness / Dietary Supplements",20.7,"0.22%","$0.25",112.7,112.7,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=VERTIGENIC","https://vertigenics.com/help/affiliates.php","affiliates@vertigenics-product.com","","Approval Required, Direct Tracking Available","Powerful Pitch, Multiple Intros Available, 100% Backed By Science. Limited Slots Only."
83,84,"VENUS","Venus Factor - The Beast is BACK","Health & Fitness / Dietary Supplements",20.7,"0.29%","$0.58",183.37,183.37,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=VENUS","https://venusfactor.com/affiliates","jackie@jvwithae.com","https://t.me/bradhoward","","The original killer is back and better than ever. This is the offer that broke CB not once but TWICE. Go here to get set up: https://www.venusfactor.com/affiliates"
84,112,"PROTOFLOW","Protoflow - Convert Clicks Into Cash Now!","Health & Fitness / Men's Health",20.6,"0.37%","$0.51",120.1,120.1,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PROTOFLOW","https://protoflow.net/affiliates","affiliates@mediapulseltd.com","","Direct Tracking Available, CPA Available","Tap into the Billion-Dollar Prostate Market with a TESTED & PROVEN offer. No guesswork, zero risks - just profits!"
85,77,"SERAPHTARO","Seraphina Tarot - NEW JULY 2026 – CRUSHING IT","Spirituality, New Age & Alternative Beliefs / Tarot",20.4,"0.73%","$0.26",36.95,36.95,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SERAPHTARO","https://docs.google.com/document/d/1eyEv3NEeT2ocSs6sLqkM9ZL7kpv-PKWxPFNWP5eoJoM/edit?usp=drivesdk","","","","3x DIAMOND vendor is back! This offer is converting 1-2% for most affiliates. And even higher for high quality lists… come try it"
86,72,"FATEREADER","The Reader of Fate - RECURRING COMMISSIONS, Live Tarot Reading","Spirituality, New Age & Alternative Beliefs / Tarot",20.3,"0.72%","$0.25",44.56,34.79,9.77,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=FATEREADER","https://www.thereaderoffate.com/affiliates","elias@thereaderoffate.com","https://t.me/a_bc12345","","$0.50 - $0.60+ EPCs from biggest super-affs in the niche. Ultra-personalized chat with master tarot reader Elias Tristram leads to monster conversions and fat EPC for you. The cards have been dealt, and they reveal cold hard CASH in your future!"
87,121,"DANNYG","Ageless Knees","Health & Fitness / Remedies",20,"0.23%","$0.13",54.22,53.41,0.81,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=DANNYG","http://www.agelessknees.com/partners","lindsay@criticalbench.com","","Direct Tracking Available","Ageless Knees is a simple seated towel routine that silences knee pain in just a few minutes per day. Every move is simple, beginner friendly, and gentle on your knees and other body parts. This sequence instantly begins rebuilding your knees."
88,138,"4BONE","Osteoporosis - The Bone Density Solution","Health & Fitness / Remedies",20,"0.18%","$0.06",30.76,30.76,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=4BONE","https://blueheronaffiliates.com/the-bone-density-solution-affiliate-center/","","","","A unique solution for a horrendous health problem plaguing 33% of women over 50. Oustanding conversion rate with a thoroughly optimized sales channel. Part of BlueHeronAffiliates.com"
89,40,"HKULTRA","Hk-Ultra","Self-Help / Dating Guides",19.2,"1.64%","$1.48",88.35,88.35,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=HKULTRA","https://gethkultra.com/affiliates-gen","affiliates@lamassuenterprises.ca","","","Cold traffic KILLER from the Diamond Vendor behind Pocket Sized ATM & Pegasus! Insane CVR's & AOV's. CPA's available to killer aff's that. Go HERE to get your link: https://gethkultra.com/affiliates-gen"
90,93,"SOULMVISIO","SOULMATE VISION - BRAND NEW Nov 2025!!","Spirituality, New Age & Alternative Beliefs / General",19.2,"0.91%","$0.43",45.58,45.58,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SOULMVISIO","https://docs.google.com/document/d/1PH56ZijsyESMRMSq4_EXzDO7HWg-RFHrP0mxbkg8Sfg/edit?usp=drivesdk","","","","3x DIAMOND vendor! Brand new offer for soulmate niche. Totally different than anything you’ve promoted this year. 1-3% conversions and $.40-$1+ epc on lists. Promote now before everyone else jumps on board!!"
91,115,"MYSTERY42","MysterySchool Code-Super offer w NEW ID, improved EPC+CVR. A Must try","Spirituality, New Age & Alternative Beliefs / General",18.9,"0.51%","$0.26",47.01,47.01,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=MYSTERY42","https://mysteryschoolcode.com/affiliates","affiliates@mysteryschoolcode.org","","","New ID with higher EPC & CVR; meant to do well for paid traffic and PD Audiences. Tested and proven to be high-converting. Story-driven sales letter for Spiritual, Manifestation and the LOA, inspired by teachings from Ancient Egyptian Mystery Schools"
92,137,"4PARKINSON","The Parkinson's Disease Protocol","Health & Fitness / Remedies",18.9,"0.17%","$0.06",35.93,35.93,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=4PARKINSON","https://blueheronaffiliates.com/the-parkinsons-protocol-affiliate-center/","","","","Brand new, unique offer focusing on Parkinson's Disease. One of the best converting offer we have tested with audiences over 55. Part Of Blueheronaffiliates.com"
93,27,"ABSOLUTEX","Trump Token of Realization","Politics / Current Events / General",18.8,"1.66%","$3.69",217.69,217.69,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=ABSOLUTEX","","info.trumptoken@gmail.com","https://t.me/infotrumptoken","Approval Required","Trump’s Token of Realization is a collectible token celebrating legacy, offering a unique piece of memorabilia. To get approved,"
94,76,"MORINGAMAG","Moringa Magic - The Most Powerful Plant on the Planet","Health & Fitness / Dietary Supplements",18.4,"1.43%","$2.00",139.23,139.23,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=MORINGAMAG","https://www.moringa-magic.com/affiliates-hub/","affiliates-support@moringa-magic.com","","Approval Required, Direct Tracking Available","Earn a massive 65% commission promoting our moringa pills. Unofficially, Moringa cures 300+ known illnesses, so it can be targeted toward ANY consumer. Get started now and cash in on the green wave! Apply here: https://forms.gle/LgVjJpsuBawoYgP48"
95,100,"SUGARDEF","Sugar Defender - Blood Sugar Support","Health & Fitness / Dietary Supplements",18.4,"0.21%","$0.30",148.54,148.54,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SUGARDEF","https://sugardefender.com/info/affiliates.html","aff@sugardefender.com","","","HOT AFFILIATE CONTEST! NEW FOR 2024: Killer $5+ EPC with SugarDefender supplement that affiliates are raving about! Powerful new angle that mesmerizes and fascinates. Works on ALL types of health traffic. Promote it now before the competition"
96,162,"CHOLHEALTH","High Cholesterol","Health & Fitness / Nutrition",18.2,"0.50%","$0.21",40.64,40.64,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=CHOLHEALTH","https://blueheronaffiliates.com/health-guides/cholesterol-promotional-materials/","","","","There is ONE ingredient that causes bad high cholesterol, stroke and heart attack. Tell people how to protect their heart by cutting out this ONE ingredient. Part of BlueHeronAffiliates.com"
97,91,"EJCOMMAND","Hardwired For Pleasure - New ED & Virility Offer w/ Big Funnel Payouts","Health & Fitness / Men's Health",18,"1.15%","$0.37",33.44,33.44,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=EJCOMMAND","https://lloydblueprint.com/insider/affiliate-hub/","bedroomprofits@gmail.com","","","REVAMPED FOR 2026! Hot male performance offer for dealing with softer, less reliable bedroom performance. Unique audio-conditioning mechanism, strong CVRs, AOVs and full-funnel payouts. Media buyers and top affiliates:"
98,69,"AQUASCULPT","AquaSculpt - #1 in weight loss","Health & Fitness / Diets & Weight Loss",17.4,"0.24%","$0.42",170.28,170.28,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=AQUASCULPT","","affiliates@webseeds.com","","Approval Required","High converting, high paying offer from top Diamond Elite team. Excellent on ice cold traffic, as well as warm!"
99,90,"EVABLOOM","Eva Bloom - NEW Soulmate Sketch concept with DELICIOUSLY HIGH AOV","Spirituality, New Age & Alternative Beliefs / General",17.2,"0.29%","$0.12",38.46,38.46,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=EVABLOOM","https://orders.intuitique.com/partners-cb","evabloom@intuitique.com","https://t.me/TheRealTimo7","","Unique NEW Angle for the Soulmate Sketch offer. YES, Eva is a REAL PERSON. Highest quality sketch offer you'll find on the market. INSANE AOV and Sky-High EPCs. Try it once, and you'll come back CRAVING for more."
100,87,"PRONAILCOM","ProNail Complex Huge Commissions On Unique Antifungal Mist Spray","Health & Fitness / Dietary Supplements",16.9,"0.13%","$0.24",154.66,154.66,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PRONAILCOM","https://pronailcomplex.com/help/affiliates.php","affiliates@pronailcomplex-product.com","","Approval Required","Original Nail Fungus Removing Formula, Powerful Pitch, Multiple Intros Available, 100% Doctor Formulated. Limited Slots Only."
101,67,"LYMPHFLOW","LYMPH FLOW - Get Rich This Summer With Our NEW Water Retention Offer!","Health & Fitness / Diets & Weight Loss",16.8,"1.43%","$2.73",180.62,180.62,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=LYMPHFLOW","https://getlymphflow.com/aff-th","amanda.slimcrystalteas@gmail.com","","Approval Required, Direct Tracking Available","Over $2 EPC CONSISTENTLY on YT, FB, Email and Native and Insane AOV's! 50% of women in US suffer from water retention, so get your aff tools HERE https://getlymphflow.com/aff-th"
102,109,"SLIMCRYSTA","SLIMCRYSTAL - Unique Offer Huge Payouts - up to $300/Sale & $3.9 EPC","Health & Fitness / Diets & Weight Loss",16.5,"0.44%","$0.50",114.11,114.11,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SLIMCRYSTA","https://slimcrystal.com/aff","amanda.slimcrystalteas@gmail.com","","Direct Tracking Available","With Over $3M paid to our affiliates, this is the wholly grail of paid traffic! If you're a media buyer, our VSL has a 4% conv rate on fb and ytb traffic! If you have an email list, you'll make $$$! So, get your aff tools, and PROMOTE TODAY!"
103,117,"METACMPLX","Metanail Complex - New Top Nail Offer","Health & Fitness / Dietary Supplements",16.5,"0.14%","$0.15",128.42,128.42,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=METACMPLX","https://metanailcomplex.com/affiliates","affiliates@mediapulseltd.com","","Direct Tracking Available, CPA Available","Hot NEW anti-fungal dropper and supplement offer! Unique angles, multiple leads, unmatched EPCs! Apply NOW!"
104,183,"BRAINYDOGS","Brain Training for Dogs - Unique Dog Training Course! Easy Sell!","Home & Garden / Animal Care & Pets",16.5,"0.20%","$0.08",42.4,42.4,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=BRAINYDOGS","https://www.braintraining4dogs.com/affiliates/","braintraining4dogs@gmail.com","","Direct Tracking Available","High Quality Dog Training Course Featuring 21 Games To Improve A Dog's Intelligence And Behavior, Plus Easy Instructions For Training Obedience Commands! Created By A Well Known Professional Dog Trainer! Affiliate Tools: Braintraining4dogs.com/affiliates"
105,94,"SCALEFAST","BREATHE - #1 Lung Offer | Scaled From $0 To $100k+ A Day In 7 Days!","Health & Fitness / Dietary Supplements",16.4,"0.11%","$0.17",138.73,138.73,0,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=SCALEFAST","https://breatheaffiliate.com/","affiliates@lungreset.com","","Direct Tracking Available, CPA Available","Scale To $100k+ A Day FAST With The #1 Lung Health Offer On Clickbank! $150+ CPA Available | Go To https://breatheaffiliate.com & Grab Your Links! Untapped Niche With HUGE Potential To Scale With A Highly Optimised VSL Backed By REAL Medical Experts"
106,120,"EZBATTERY","New Battery Reconditioning Course! VSL conversions 9.7% & EPC $2.1!","Green Products / Conservation & Efficiency",16.4,"0.76%","$2.1",49.07,49.07,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=EZBATTERY","https://ezbatteryreconditioning.com/affiliates/","affiliates@ezbatteryreconditioning.com","","","HOT NEW NICHE! Popular Battery Reconditioning course now available on CB! Great VSL, high conversions, huge EPCs. Coverts great 4 Energy/Solar, Prepper/Survival, Home/Garden/woodworking lists + Media buys/PPC. http://ezbatteryreconditioning.com/affiliates"
107,108,"BRAINSIG","Genius Brain Signal: NEW 2026 Brain Offer From CB Platinum Plus Vendor","Spirituality, New Age & Alternative Beliefs / General",16.2,"0.96%","$0.46",54.57,54.57,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=BRAINSIG","https://astralhq.com/gbs-affiliates","affiliates@astralhq.com","https://t.me/bsd98hfb","Direct Tracking Available","Genius Brain Signal is a cutting edge brainwave activation offer your traffic will love. Super high AOV, built on a proven mechanism with optimised copy and optimised upsells for maximum earnings per click. Check tools page for swipes, links and more."
108,111,"QUIETPLUS","Quietum Plus - Top Offer, Now Even Better","Health & Fitness / Dietary Supplements",16.2,"0.15%","$0.23",149.75,149.75,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=QUIETPLUS","https://quietumplus.com/help/affiliates.php","affiliates@quietumplus.com","","","The Absolute Monster Is Back And Badder Than Ever! Cart Value Of $700. Top Affs Are Doing 6fig/day. Works Like A Charm On Emailing, Native, FB, YT. Limited slots only. Apply today!"
109,130,"WINNINGTIP","Euro Winner Football Tips/Premier Football Tips","Betting Systems / Soccer",15.7,"3.56%","$1.04",28.38,28.38,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=WINNINGTIP","https://besttipster.co.uk/affiliates-eurowinner/","support@besttipster.co.uk","","","New Euro Winner Football Tips (Use URL parameter: ew ) . Affiliate on $1+ a hop, and even more comms with Order Bump And Upsell. Low Refunds. From The Team Who Have Made Affiliates $100K+. Also can promote Premier Football tips (use parameter = pft)"
110,144,"NERVEFRESH","Nerve Fresh - NEW TOP NEUROPATHY PRODUCT FOR 2025","Health & Fitness / Dietary Supplements",15.7,"0.09%","$0.10",122.27,122.27,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=NERVEFRESH","https://nervefresh.com/affiliate-enter-clickbank-is-cb1","affiliates@premvitality.com","","Direct Tracking Available","Works on ALL types of traffic. Unique formulation super low refund rate. Top emailers in space mail regularly. Go HERE to get your link: https://nervefresh.com/affiliate-enter-clickbank-is-cb1"
111,104,"ZNRVIP","Zeneara - #1 Ear Offer On ClickBank","Health & Fitness / Dietary Supplements",15.5,"0.42%","$0.51",116.6,116.6,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=ZNRVIP","https://zeneara.com/affiliates","affiliates@zeneara.com","","","Get your first six-figure day promoting this incredible ear health offer! This offer has generated more than $3 per click for affs! Multiple landing pages. Scale this offer on Native, FB, YouTube Ads, and PPC, and be amazed by how much you make!"
112,124,"ZENCORTEX","ZenCortex - Top Brain and Hearing","Health & Fitness / Dietary Supplements",15.5,"0.24%","$0.32",142.88,142.88,,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=ZENCORTEX","https://zencortexhq.com//info/affiliates.html","aff@zencortexhq.com","https://t.me/adrflorea","","Zen Cortex, a proven winner with a proven niche hearing and brain. Top Clickbank vendor with with multiple top 10 winners. This one is hot! Start scaling before everybody else."
113,129,"PEAKBIOME","The Most Lucrative Constipation Offer On Clickbank - Peak BioBoost","Health & Fitness / Dietary Supplements",15.5,"0.16%","$0.13",77.11,75.89,1.23,"https://hop.clickbank.net/?affiliate=zzzzz&vendor=PEAKBIOME","https://peakbiome.com/affiliate-tools/signup/","affiliates@peakbiome.com","https://t.me/jolomarquez","Approval Required, Direct Tracking Available","This constipation / digestion / weight loss offer is crushing it with $1.50 - $2 EPCs and some affiliates doing closer to $4 EPC. It appeals to a wide audience of men & women ages 35 and older. Go to the affiliate tools link below to get whitelisted!"
